"timestamp","fac","hospital_name","failure_type","error_message","url","context"
"2026-03-03 10:23:57","592","NAPANEE LENNOX & ADDINGTON","no_pdf_found","No PDF located on top candidate page or in crawl results","https://web.lacgh.napanee.on.ca/long-term-care/about-our-home-amenities",""
"2026-03-03 10:25:39","593","Middlesex Hospital Alliance NEWBURY FOUR COUNTIES HEALTH SERV.","no_pdf_found","No PDF located on top candidate page or in crawl results","https://mhalliance.on.ca/about/strategic-plan",""
