ACCOUNTING_PERIOD,report_mapping_id,FAC_ROLLUP,ind01,ind02,ind03,ind04,ind05,ind06,ind07,ind08,ind09,ind10,ind11,ind12,ind13,ind14,ind15,ind16,ind17,ind18,ind19,ind20,ind21,ind22,ind23,ind24,ind25,ind26,ind27,ind28,ind29,ind30,ind31,ind32,ind33,ind34,ind35,ind36,ind37,ind38,ind39,ind40,ind41,ind42,ind43,ind44,ind45,ind46,ind47,ind48,ind49,ind50,ind51,ind52,ind53,ind54,ind55,ind56,ind57,ind58,ind59,ind60,ind61,ind62,ind63,ind64,ind65,ind66,ind67,ind68,ind69,ind70,ind71,ind72,ind73,ind74
2022/2023YE,4,724,10855881,11026452,-0.015484869,-0.018825889,-0.018825889,0.0857269898,2.1440425436,1574095,,-0.026275005,37.208804431,0.5221492678,0.1824651103,0.0102847138,0.0599139219,0.0107016285,0.0522864027,0.0419294327,0.0558508701,,0.0186748238,,0.0457438284,,575.11647658,64.84421257,123.22747056,57.94202844,0.1282730785,,0.1326253859,0.0240106182,0.0587353339,,54.491794872,7.6276923077,46.864102564,0.040580092,0.8600212688,0.6608199695,0.0715815834,0.0846156167,0.084962385,0.0847371258,3347,,,,774,,4121,,31,31,17.791780822,6494,,545,7039,,,,,,,,,,,,,,,
2022/2023YE,4,726,84809583,82647379,0.0253079566,0.0272723897,0.0272723897,0.0614814012,1.1740330587,4164349,0.0758035917,,25.081943011,0.6640668552,0.067192192,0.0491393168,0.0476059735,0.0169817613,0.0676221701,0.043822297,0.0196810984,,-0.036693023,0.0024320034,0.0581493559,,661.49220276,63.32759128,98.566797229,56.962890082,0.1390571071,,0.1428384681,0.0261613361,0.0709495616,,505.33538462,64.715897436,439.30307692,0.0281236868,0.8693297368,0.7362132114,0.0613813692,0.0704829245,0.0588113997,0.0665229845,29028,1293,,3697,5560,,39578,200,5563,5763,110.64383562,40385,6615,9498,56498,,,,,,,,,,,,,,,
2022/2023YE,4,732,27476547,28145403,-0.024077378,-0.02937648,-0.024342797,0.1886885204,1.2958797722,2280475,,,6.3535888735,0.508236755,0.131410423,0.0802102176,0.0663567397,0.0116832754,0.053309006,0.0427641903,0.0467801437,,0.0081924731,0.0011607446,0.0498960315,,890.74890282,143.71003135,95.320927479,53.234052742,0.1724146085,,0.1349172544,0.036928936,0.0654173796,,144.56307692,9.8461538462,134.71692308,0.0995076233,0.9318902582,0.3764139945,0.0404271734,0.0385349413,0.0495977459,0.0443178295,2761,,,,484,,3245,55,4194,4249,55.405479452,20223,,12286,32509,,,,,,,,,,,,,,,
2022/2023YE,4,734,18664891,21271969,-0.138582411,-0.139638342,-0.139638342,0.0714075426,0.5638158996,-2196894,,,24.518564922,0.5822966494,0.1755867726,0.0131231725,0.0469337613,0.0107872353,0.0615895924,0.0222029265,0.0272506488,,0.0130903389,,0.0471389023,,537.45470572,82.901952807,102.44487793,54.310540436,0.121578355,,0.1405477953,0.0202071794,0.0653967706,,120.46410256,16.695897436,103.53948718,0.0611962006,0.8595049062,0.6106612835,0.0500443391,0.0607092688,0.061964524,0.0612385685,7374,,,,,,7374,,1081,1081,49.191780822,17955,,4810,22765,,,,,,,,,,,,,,,
2022/2023YE,4,736,526510380,532027854,-0.010425871,-0.008910161,-0.009109275,0.0710481055,0.9124223781,-14570290,0.0491952524,-0.001880626,12.995837614,0.5761402603,0.0716952698,0.097706981,0.0547408331,0.0621377658,0.054438444,0.0105427937,0.0186688153,,0.0025639013,0.0158650188,0.0354999169,,768.06400373,32.146301754,116.96611394,57.855627826,0.0861531881,,0.0780656159,0.0179336498,0.0574974829,,2817.5323077,334.71641026,2433.925641,0.028138019,0.8638501267,0.821383253,0.0696328344,0.0635055346,0.0720020638,0.0653780169,144907,10090,13319,4355,10984,,183655,7864,31143,39007,326.23561644,119076,42068,154528,315672,,,,,,,,,,,,,,,
2022/2023YE,4,739,10323133,10935125,-0.058074948,-0.068412415,-0.072020993,0.129317111,0.8101539443,-415420,0.0480394536,,58.992890068,0.6963392617,0.0407549104,0.0057227431,0.079362348,0.0075215855,0.0678675502,0.0047446128,0.0499711113,,0.0080490138,0.0004749268,0.0391919365,,376.61309187,52.207696661,86.50006291,52.945162559,0.1255060115,,0.1665384544,0.0142036376,0.0755494751,,78.235897436,9.5533333333,68.682564103,0.0554667016,0.877890666,0.7160296178,0.1023645393,0.0407467412,0.0282975073,0.0364628912,2598,,,,,8004,10602,,,,12.852054795,4691,,1,4692,,,,,,,,,,,,,,,
2022/2023YE,4,745,174176171,172608829,0.0089551468,0.0072699078,0.0083929603,0.0705578277,1.3744345518,11564665,,,23.965496616,0.6215691128,0.0731940893,0.0609237961,0.0408567752,0.036512239,0.0615699187,0.0301203512,0.0257053651,,0.0058185903,0.000621101,0.0431086612,,701.53570621,38.504523863,100.73274562,55.264738178,0.102445859,,0.0879825073,0.0238223597,0.065783144,,1024.6625641,111.69076923,910.62358974,0.0056834342,0.8887058254,0.6787832422,0.052421163,0.0523862214,0.0507693196,0.0518815018,48205,2236,7444,2257,3776,,63918,1545,7624,9169,134.7890411,49198,21591,56371,127160,,,,,,,,,,,,,,,
2022/2023YE,4,751,319101289,328636452,-0.029222089,-0.02122459,-0.026492111,0.3013358595,0.8509120948,-17481438,0.0674348161,-0.067309542,30.597255277,0.6161285659,0.0405218664,0.0279378138,0.0595488627,0.039052985,0.0648259518,0.0768880029,0.016773959,,0.003342704,,0.0549792884,,1355.7136239,52.945593737,97.419320453,58.214426525,0.0987036639,,0.0838816277,0.0195413155,0.0773987805,,1869.0928205,358.56871795,1485.534359,0.0056821452,0.7947889707,0.7085083206,0.0596638785,0.0412023196,0.0867377878,0.0507375299,35396,6992,,,,,42388,1884,4680,6564,207.81369863,75852,18437,134046,228335,,,,,,,,,,,,,,,
2022/2023YE,4,753,249904641,256760040,-0.027197312,-0.027002051,-0.027424746,0.1433013923,1.3229087659,17502402,,-0.151262738,27.362153064,0.5994267636,0.0909753007,0.0467389195,0.0319758417,0.0162579506,0.0714339918,0.0642315979,0.0400834193,,0.0046528281,0.0022977018,0.031925685,,637.36780554,33.081592809,101.20382622,54.488116891,0.1414826493,,0.0988839908,0.0267062567,0.0788580664,,1514.9271795,286.75384615,1222.2615385,0.0574125427,0.8068120732,0.7585133443,0.055080085,0.0664619047,0.0715476736,0.0679391333,78000,3386,16225,7366,,,104977,2472,23455,25927,139.10958904,50775,6572,84653,142000,,,,,,,,,,,,,,,
2022/2023YE,4,763,102118934,107564661,-0.052762879,-0.04943057,-0.053263471,0.1131787429,0.7338635786,-5805448,,,43.663288974,0.5563415655,0.1443134353,0.0448435515,0.0310780351,0.0422544672,0.0486217739,0.082179863,0.0237128543,,0.0040458671,,0.022608587,,742.9891477,51.155664373,108.45972532,52.779188009,0.1160321508,,0.1128732428,0.020220375,0.0516185514,,600.06153846,86.768717949,511.74717949,0.0137442529,0.8528244966,0.5916307605,0.0689344106,0.0302647511,0.0459389717,0.03634237,22824,1719,4150,6408,3746,,38847,1208,6500,7708,82.060273973,29952,2670,36335,68957,,,,,,,,,,,,,,,
