accounting_period,report_mapping_id,fac_rollup,ind01,ind02,ind03,ind04,ind05,ind06,ind07,ind08,ind09,ind10,ind11,ind12,ind13,ind14,ind15,ind16,ind17,ind18,ind19,ind20,ind21,ind22,ind23,ind24,ind25,ind26,ind27,ind28,ind29,ind30,ind31,ind32,ind33,ind34,ind35,ind36,ind37,ind38,ind39,ind40,ind41,ind42,ind43,ind44,ind45,ind46,ind47,ind48,ind49,ind50,ind51,ind52,ind53,ind54,ind55,ind56,ind57,ind58,ind59,ind60,ind61,ind62,ind63,ind64,ind65,ind66,ind67,ind68,ind69,ind70,ind71,ind72,ind73,ind74
2022/2023YE,4,613,96651997,94802318,0.0190026877,0.0242478232,0.0110273926,0.123550277,0.8577280425,-7676327,0.0067688383,,35.778606322,0.7679310877,0.0240254939,0.0315162454,0.0314425345,0.0157139643,0.0174550034,0.0263455089,0.0207442513,,0.0046633126,0.0003589277,0.0598036702,,472.03921429,43.936655655,75.508565301,54.119030945,0.163577753,,0.1206017493,0.0051468258,0.0194170709,,707.57179487,75.247692308,629.21897436,0.0283684329,0.889265201,0.7011268863,0.0586266955,0.0688218857,0.051715873,0.0642063143,,,,35874,48585,,84459,,,,,,,9299,9299,,,,,,,,,,,,,,,
2022/2023YE,4,619,105168372,104578057,0.0054450408,0.0051333513,0.0055810434,0.0718651706,0.5594951105,-10522013,,-0.003570419,29.606932448,0.593927516,0.0931434972,0.0501828084,0.0543756632,0.0111131227,0.0639728101,0.0179832605,0.059479807,,0.0063955573,,0.0494259576,,603.38602911,53.483057016,93.753256813,49.820856517,0.1312880871,,0.1380465277,0.0241896714,0.0724349311,,699.31846154,85.945641026,610.27897436,0.0359123713,0.8726767673,0.7208120283,0.0663769065,0.0576907174,0.0409051068,0.052529064,22827,2329,6906,8058,9814,,49934,1083,7773,8856,79.282191781,28938,,27136,56074,,,,,,,,,,,,,,,
2022/2023YE,4,624,27130597,27916358,-0.028835041,-0.027142157,0.000167009,0.0884116188,1.6743376385,3038208,0.1312625401,,38.428014496,0.5818208897,0.1557285881,0.0201742963,0.0467310603,0.0115333697,0.0921707233,0.0131649083,0.0237988458,,0.0121453584,,0.0427319601,,166.18817583,17.459834805,109.6775475,56.25587214,0.1303218268,,0.1242118626,0.02407871,0.0982871457,,152.75641026,24.274871795,127.3974359,0.0431361809,0.8339907679,0.7218151366,0.0792586912,0.0539775051,0.0617746933,0.0563867408,38379,,,,,,38379,27,2378,2405,137.42739726,50161,,29000,79161,,,,,,,,,,,,,,,
2022/2023YE,4,626,17617060,18311742,-0.039230788,-0.039425296,-0.039425296,0.1150770333,0.7974226099,-1066416,,,51.135466794,0.5523581011,0.1693007858,0.0255455656,0.0328521922,0.0156366512,0.0671364255,0.0596243818,0.0214505842,,0.0136968389,,0.0423984738,,588.21556462,64.022691012,110.27765567,56.411633403,0.1278513286,,0.1165551985,0.0500999528,0.0725777716,,93.964615385,17.529230769,76.435384615,0.1227357816,0.8134485977,0.6197952911,0.0678143961,0.0335695287,0.0350615442,0.0341673309,5723,,,,,,5723,5,1269,1274,47.583561644,17368,,15192,32560,,,,,,,,,,,,,,,
2022/2023YE,4,627,12249947,12649079,-0.032394567,-0.026441508,-0.027857714,0.147065371,0.9713501631,-91557,0.0244274724,-0.006364163,57.874491174,0.6095542697,0.1031705528,0.0138563917,0.1015982113,0.0072157564,0.0683276146,0.0107449646,0.0417868908,,0.0040189551,,0.0397263932,,371.31882934,65.568175211,97.390496528,52.800551199,0.1222477065,,0.1799430266,0.0342774616,0.0755156384,,78.151282051,12.799487179,65.351794872,0.0614915188,0.8362216608,0.7411604446,0.0785039377,0.0433103596,0.0621833109,0.0474243092,1544,,,,2151,6624,10319,,,,9.4,3431,,,3431,,,,,,,,,,,,,,,
2022/2023YE,4,632,467281495,465619516,0.0035264368,0.0065060211,0.0083959153,0.1325834958,1.0396619311,5997886,0.0118862887,-0.011865326,27.607179923,0.5720522375,0.0951848651,0.0540455465,0.0495125308,0.0829164058,0.0605082343,0.025085339,0.0143625872,,0.005073513,0.005126732,0.0361320088,,684.06721066,38.245233395,101.5724244,52.791909074,0.1087422958,,0.1032272211,0.0245651458,0.066976382,,2650.2630769,454.99794872,2172.32,0.0397997763,0.8196620248,0.7865046127,0.0614672462,0.026494265,0.0268978293,0.0265897804,152658,5001,13744,,,,171403,6550,29708,36258,302.89863014,110558,39243,130699,280500,,,,,,,,,,,,,,,
2022/2023YE,4,633,14377615,14874961,-0.034442604,-0.031970378,-0.031970378,0.0503484757,0.977772558,-103146,0.0159620936,,40.460852835,0.6053652999,0.1020298533,0.0383294467,0.0383386594,0.0110719622,0.0759550312,0.0281707082,0.0349411893,,0.0090326498,,0.0567652,,570.77684102,55.721094288,106.67643144,54.776305593,0.1706032053,,0.1180300289,0.03172766,0.079895813,,87.355897436,11.609230769,75.746666667,0.0499577326,0.8671042127,0.7601882677,0.0714687766,0.0306604911,0.0264072826,0.0296715029,2279,,,,3533,,5812,,1472,1472,21.610958904,7888,,1240,9128,,,,,,,,,,,,,,,
2022/2023YE,4,638,17212826,17631111,-0.02412255,-0.020771169,-0.024294635,0.106730179,1.038430351,2182766,,,57.597598496,0.5338518059,0.1332964121,0.0227324231,0.0803767434,0.0647708878,0.0424765629,0.0258220108,0.0223822107,,0.0138878962,,0.060403047,,593.66712565,90.366437177,103.1060286,49.693638546,0.129396155,,0.1563809289,0.041925443,0.0464735818,,99.356410256,5.4338461538,93.922564103,0.0211515136,0.9453095564,0.7325633052,0.0633160227,0.0532816947,0.0619159097,0.0557116278,4447,,,,1363,,5810,,570,570,27.038356164,9869,453,1406,11728,,,,,,,,,,,,,,,
2022/2023YE,4,640,79863838,79753622,0.0013658454,0.0012763809,0.001321866,0.0611308389,1.3721318775,5258798,,,9.2856969455,0.559599823,0.1481171512,0.0672755412,0.0467060449,0.0113744535,0.0547729156,0.0586048515,0.0130354898,,0.0047231436,0.0001128926,0.0356776931,,598.79729681,44.509929717,112.81171073,54.847076785,0.1377282602,,0.0877032522,0.0341807538,0.0564364354,,425.17897436,47.636410256,375.93128205,,0.884171854,0.715009413,0.050334305,0.0511394276,0.0655161079,0.0562791278,28980,1255,,,,,30235,1257,4060,5317,95.556164384,34878,6250,15395,56523,,,,,,,,,,,,,,,
2022/2023YE,4,644,10579465,10692243,-0.009683209,0.0159707549,-0.008218715,0.1298751588,0.8412374011,-789722,0.2162013561,,,0.8017474242,0.0170081935,0.0126436019,0.067943854,0.021888149,0.0235696897,0.0092464049,0.0261597674,,0.0009350525,,0.0188578629,,326.93606338,52.174124079,73.3759479,55.982039777,0.1162773324,,0.1995973901,0.0161782454,0.0265622999,,86.972820513,18.454358974,68.518461538,0.2487249185,0.7878146429,0.6493113955,0.0537806235,0.0215563319,0.03772302,0.0262181684,,,,,17924,,17924,,,,,,,,,,,,,,,,,,,,,,,
2022/2023YE,4,646,13384585,13312230,0.0051879734,0.0103636856,0.0101116716,0.1549694167,1.5399065372,2739888,,,12.993763237,0.4948049646,0.1532986317,0.0257778615,0.0351698103,0.003100732,0.0740916414,0.0709782384,0.0279928209,,0.0130103611,,0.1017749382,,524.86336915,64.992904926,116.53843238,51.507250837,0.1857070582,,0.0959021327,0.0232873577,0.0820991547,,69.983076923,11.723076923,58.26,0.0040229506,0.8324869749,0.5189392101,0.0543461163,0.051105798,0.0640547779,0.0580022351,4962,,,,,,4962,,,,43.619178082,15921,,302,16223,,,,,,,,,,,,,,,
