timestamp,row_id,fac,run_mode,success,input_tokens,output_tokens,cost_usd,attempts
2026-04-02 18:24:22.633874,980_6,980,sample,FALSE,NA,NA,NA,3
2026-04-02 18:24:44.300079,655_3,655,sample,FALSE,NA,NA,NA,3
2026-04-02 18:29:03.07389,980_6,980,sample,TRUE,1130,106,0.00498,1
2026-04-02 18:29:07.384708,655_3,655,sample,TRUE,1181,116,0.00528,1
2026-04-02 18:31:39.699027,771_1,771,sample,TRUE,1143,115,0.00515,1
2026-04-02 18:31:42.938881,951_2,951,sample,TRUE,1134,104,0.00496,1
2026-04-02 18:31:46.465625,790_3,790,sample,TRUE,1100,113,0.00499,1
2026-04-02 18:31:51.646066,953_7,953,sample,TRUE,1175,130,0.00548,1
2026-04-02 18:31:56.619674,942_3,942,sample,TRUE,1120,118,0.00513,1
2026-04-02 18:32:00.604001,745_2,745,sample,TRUE,1097,114,0.005,1
2026-04-02 18:32:04.689148,837_3,837,sample,TRUE,1256,117,0.00552,1
2026-04-02 18:32:09.19521,734_1,734,sample,TRUE,1146,118,0.00521,1
2026-04-02 18:32:14.169957,951_9,951,sample,TRUE,1093,107,0.00488,1
2026-04-02 18:32:17.630447,624_2,624,sample,TRUE,1210,101,0.00514,1
2026-04-02 18:32:22.266201,718_4,718,sample,TRUE,1105,123,0.00516,1
2026-04-02 18:32:27.387233,674_3,674,sample,TRUE,1300,141,0.00601,1
2026-04-02 18:32:30.988288,723_4,723,sample,TRUE,1105,113,0.00501,1
2026-04-02 18:32:35.135447,837_4,837,sample,TRUE,1261,123,0.00563,1
2026-04-02 18:32:39.512182,647_3,647,sample,TRUE,1357,118,0.00584,1
2026-04-02 18:32:43.100362,932_2,932,sample,TRUE,1111,114,0.00504,1
2026-04-02 18:32:48.095072,936_2,936,sample,TRUE,1115,114,0.00506,1
2026-04-02 18:32:51.092244,942_2,942,sample,TRUE,1105,89,0.00465,1
2026-04-02 18:32:55.343168,653_2,653,sample,TRUE,1221,130,0.00561,1
2026-04-02 18:32:58.938503,695_2,695,sample,TRUE,1154,100,0.00496,1
2026-04-02 18:52:44.793161,592_1,592,all,TRUE,1097,104,0.00485,1
2026-04-02 18:52:48.254905,592_2,592,all,TRUE,1093,107,0.00488,1
2026-04-02 18:52:52.646375,592_3,592,all,TRUE,1112,103,0.00488,1
2026-04-02 18:52:57.056724,593_1,593,all,TRUE,1135,120,0.0052,1
2026-04-02 18:53:00.347928,593_2,593,all,TRUE,1139,110,0.00507,1
2026-04-02 18:53:03.977926,593_3,593,all,TRUE,1148,128,0.00536,1
2026-04-02 18:53:07.0547,596_1,596,all,TRUE,1110,99,0.00482,1
2026-04-02 18:53:09.439014,596_2,596,all,TRUE,1094,61,0.0042,1
2026-04-02 18:53:13.317681,596_3,596,all,TRUE,1099,101,0.00481,1
2026-04-02 18:53:16.648861,596_4,596,all,TRUE,1097,96,0.00473,1
2026-04-02 18:53:20.787198,597_1,597,all,TRUE,1114,104,0.0049,1
2026-04-02 18:53:23.343347,597_2,597,all,TRUE,1156,60,0.00437,1
2026-04-02 18:53:27.005471,597_3,597,all,TRUE,1132,107,0.005,1
2026-04-02 18:53:31.610265,597_4,597,all,TRUE,1156,129,0.0054,1
2026-04-02 18:53:34.843732,599_1,599,all,TRUE,1187,113,0.00526,1
2026-04-02 18:53:38.294228,599_2,599,all,TRUE,1205,107,0.00522,1
2026-04-02 18:53:41.994948,599_3,599,all,TRUE,1202,117,0.00536,1
2026-04-02 18:53:45.639993,599_4,599,all,TRUE,1181,114,0.00525,1
2026-04-02 18:53:48.721533,599_5,599,all,TRUE,1143,97,0.00488,1
2026-04-02 18:53:53.63375,606_1,606,all,TRUE,1241,132,0.0057,1
2026-04-02 18:53:57.701824,606_2,606,all,TRUE,1259,119,0.00556,1
2026-04-02 18:54:01.480628,606_3,606,all,TRUE,1218,124,0.00551,1
2026-04-02 18:54:05.719667,606_4,606,all,TRUE,1212,126,0.00553,1
2026-04-02 18:54:09.12878,606_5,606,all,TRUE,1194,107,0.00519,1
2026-04-02 18:54:13.971488,606_6,606,all,TRUE,1200,130,0.00555,1
2026-04-02 18:54:18.639392,611_1,611,all,TRUE,1365,136,0.00614,1
2026-04-02 18:54:23.295983,611_2,611,all,TRUE,1390,140,0.00627,1
2026-04-02 18:54:27.606364,611_3,611,all,TRUE,1488,124,0.00632,1
2026-04-02 18:54:30.878989,619_1,619,all,TRUE,1116,112,0.00503,1
2026-04-02 18:54:35.217428,619_2,619,all,TRUE,1107,117,0.00508,1
2026-04-02 18:54:38.254832,619_3,619,all,TRUE,1132,109,0.00503,1
2026-04-02 18:54:42.421013,619_4,619,all,TRUE,1134,142,0.00553,1
2026-04-02 18:54:46.763763,624_1,624,all,TRUE,1195,135,0.00561,1
2026-04-02 18:54:50.185123,624_2,624,all,TRUE,1210,101,0.00514,1
2026-04-02 18:54:54.451925,624_3,624,all,TRUE,1187,120,0.00536,1
2026-04-02 18:54:58.512432,624_4,624,all,TRUE,1198,124,0.00545,1
2026-04-02 18:55:01.957662,626_1,626,all,TRUE,1114,94,0.00475,1
2026-04-02 18:55:05.440071,626_2,626,all,TRUE,1156,93,0.00486,1
2026-04-02 18:55:09.64488,626_3,626,all,TRUE,1132,131,0.00536,1
2026-04-02 18:55:14.136303,626_4,626,all,TRUE,1156,129,0.0054,1
2026-04-02 18:55:18.804493,627_1,627,all,TRUE,1132,126,0.00529,1
2026-04-02 18:55:22.853822,627_2,627,all,TRUE,1135,109,0.00504,1
2026-04-02 18:55:26.478788,627_3,627,all,TRUE,1132,107,0.005,1
2026-04-02 18:55:28.829811,632_1,632,all,TRUE,1110,60,0.00423,1
2026-04-02 18:55:33.194139,632_2,632,all,TRUE,1121,131,0.00533,1
2026-04-02 18:55:36.418854,632_3,632,all,TRUE,1113,95,0.00476,1
2026-04-02 18:55:40.359088,632_4,632,all,TRUE,1128,111,0.00505,1
2026-04-02 18:55:43.661112,632_5,632,all,TRUE,1125,98,0.00484,1
2026-04-02 18:55:47.814622,632_6,632,all,TRUE,1143,114,0.00514,1
2026-04-02 18:55:51.872924,632_7,632,all,TRUE,1148,122,0.00527,1
2026-04-02 18:55:55.684916,632_8,632,all,TRUE,1133,119,0.00518,1
2026-04-02 18:55:59.621334,632_9,632,all,TRUE,1143,119,0.00521,1
2026-04-02 18:56:02.93409,632_10,632,all,TRUE,1161,106,0.00507,1
2026-04-02 18:56:05.087465,638_1,638,all,TRUE,1093,61,0.00419,1
2026-04-02 18:56:08.772396,638_2,638,all,TRUE,1096,111,0.00495,1
2026-04-02 18:56:12.113078,638_3,638,all,TRUE,1097,103,0.00484,1
2026-04-02 18:56:15.984349,638_4,638,all,TRUE,1105,113,0.00501,1
2026-04-02 18:56:20.157778,638_5,638,all,TRUE,1091,120,0.00507,1
2026-04-02 18:56:24.142749,640_1,640,all,TRUE,1151,122,0.00528,1
2026-04-02 18:56:26.192436,640_2,640,all,TRUE,1175,60,0.00442,1
2026-04-02 18:56:29.875531,640_3,640,all,TRUE,1164,107,0.0051,1
2026-04-02 18:56:34.299158,644_1,644,all,TRUE,1099,139,0.00538,1
2026-04-02 18:56:37.833351,644_2,644,all,TRUE,1119,110,0.00501,1
2026-04-02 18:56:41.852847,644_3,644,all,TRUE,1089,125,0.00514,1
2026-04-02 18:56:44.010052,646_1,646,all,TRUE,1145,60,0.00433,1
2026-04-02 18:56:47.57036,646_2,646,all,TRUE,1150,113,0.00515,1
2026-04-02 18:56:51.500559,646_3,646,all,TRUE,1149,130,0.0054,1
2026-04-02 18:56:55.646792,647_1,647,all,TRUE,1355,125,0.00594,1
2026-04-02 18:57:00.058425,647_2,647,all,TRUE,1359,125,0.00595,1
2026-04-02 18:57:04.95474,647_3,647,all,TRUE,1357,126,0.00596,1
2026-04-02 18:57:09.56065,651_1,651,all,TRUE,1119,125,0.00523,1
2026-04-02 18:57:13.046329,651_2,651,all,TRUE,1136,110,0.00506,1
2026-04-02 18:57:16.604009,651_3,651,all,TRUE,1132,118,0.00517,1
2026-04-02 18:57:20.542574,651_4,651,all,TRUE,1135,111,0.00507,1
2026-04-02 18:57:24.166347,651_5,651,all,TRUE,1128,111,0.00505,1
2026-04-02 18:57:27.567976,653_1,653,all,TRUE,1184,104,0.00511,1
2026-04-02 18:57:31.76903,653_2,653,all,TRUE,1221,126,0.00555,1
2026-04-02 18:57:35.845473,653_3,653,all,TRUE,1209,124,0.00549,1
2026-04-02 18:57:39.599887,653_4,653,all,TRUE,1214,106,0.00523,1
2026-04-02 18:57:44.308433,653_5,653,all,TRUE,1195,124,0.00544,1
2026-04-02 18:57:46.680375,653_6,653,all,TRUE,1166,59,0.00438,1
2026-04-02 18:57:50.887147,654_1,654,all,TRUE,1224,107,0.00528,1
2026-04-02 18:57:54.751286,654_2,654,all,TRUE,1176,103,0.00507,1
2026-04-02 18:57:58.628576,654_3,654,all,TRUE,1208,120,0.00542,1
2026-04-02 18:58:02.705834,654_4,654,all,TRUE,1200,121,0.00541,1
2026-04-02 18:58:06.750851,654_5,654,all,TRUE,1070,119,0.005,1
2026-04-02 18:58:10.785591,654_6,654,all,TRUE,1071,145,0.00539,1
2026-04-02 18:58:15.081365,654_7,654,all,TRUE,1069,129,0.00514,1
2026-04-02 18:58:18.997492,654_8,654,all,TRUE,1069,132,0.00519,1
2026-04-02 18:58:23.060069,654_9,654,all,TRUE,1070,112,0.00489,1
2026-04-02 18:58:27.752201,655_1,655,all,TRUE,1191,147,0.00578,1
2026-04-02 18:58:31.729354,655_2,655,all,TRUE,1165,124,0.00536,1
2026-04-02 18:58:36.200799,655_3,655,all,TRUE,1181,116,0.00528,1
2026-04-02 18:58:40.007374,655_4,655,all,TRUE,1175,105,0.0051,1
2026-04-02 18:58:43.51189,656_1,656,all,TRUE,1152,102,0.00499,1
2026-04-02 18:58:47.458028,656_2,656,all,TRUE,1136,103,0.00495,1
2026-04-02 18:58:50.995727,656_3,656,all,TRUE,1107,90,0.00467,1
2026-04-02 18:58:54.264473,656_4,656,all,TRUE,1155,103,0.00501,1
2026-04-02 18:58:56.369839,656_5,656,all,TRUE,1168,59,0.00439,1
2026-04-02 18:59:00.728703,661_1,661,all,TRUE,1277,126,0.00572,1
2026-04-02 18:59:04.666673,661_2,661,all,TRUE,1237,125,0.00559,1
2026-04-02 18:59:09.18395,661_3,661,all,TRUE,1222,139,0.00575,1
2026-04-02 18:59:14.885357,661_4,661,all,TRUE,1205,106,0.0052,1
2026-04-02 18:59:18.337986,661_5,661,all,TRUE,1172,104,0.00508,1
2026-04-02 18:59:22.519389,662_1,662,all,TRUE,1156,112,0.00515,1
2026-04-02 18:59:26.69464,662_2,662,all,TRUE,1132,120,0.0052,1
2026-04-02 18:59:29.072236,662_3,662,all,TRUE,1101,59,0.00419,1
2026-04-02 18:59:34.322507,663_1,663,all,TRUE,1191,127,0.00548,1
2026-04-02 18:59:38.600234,663_2,663,all,TRUE,1165,127,0.0054,1
2026-04-02 18:59:43.187091,663_3,663,all,TRUE,1181,116,0.00528,1
2026-04-02 18:59:46.776911,663_4,663,all,TRUE,1175,105,0.0051,1
2026-04-02 18:59:50.716735,665_1,665,all,TRUE,1144,119,0.00522,1
2026-04-02 18:59:54.74107,665_2,665,all,TRUE,1202,116,0.00535,1
2026-04-02 18:59:58.549021,665_3,665,all,TRUE,1131,110,0.00504,1
2026-04-02 19:00:03.012936,665_4,665,all,TRUE,1194,128,0.0055,1
2026-04-02 19:00:06.437816,665_5,665,all,TRUE,1180,99,0.00502,1
2026-04-02 19:00:12.847383,666_1,666,all,TRUE,1139,140,0.00552,1
2026-04-02 19:00:17.50422,666_2,666,all,TRUE,1148,129,0.00538,1
2026-04-02 19:00:21.02164,666_3,666,all,TRUE,1121,103,0.00491,1
